DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1670375372.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1703779348.9050114
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\gettext.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\dotenv\__init__.py first seen with mtime 1700853665.6467261
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\apps\config.py first seen with mtime 1703779347.4488811
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1703779347.8264122
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1703779348.811503
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\tempfile.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1703779348.98252
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\contextvars.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1703779347.9249198
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1703779348.8095026
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\win32\lib\pywin32_bootstrap.py first seen with mtime 1676925410.5443203
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1703779349.0135198
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1670375372.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1700348981.968781
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1703779348.94352
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\__future__.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1703779348.8830113
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1703779348.9090123
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1703779347.8254123
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\platform.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\text.py first seen with mtime 1703779349.014521
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py first seen with mtime 1670375370.0
